setting,learned,layer_mean_delta,model_mean_delta,uniform_delta,permute_blocks_delta,reverse_blocks_delta,second_best_delta
cifar100_dir03_20c,43.48,0.25,-0.43,-0.11,-0.55,-0.31,-8.14
cifar100_path20_20c,55.9,0.35,-0.15,-0.21,-0.41,0.02,-15.94
cifar100_dir03_10c,41.82,0.25,0.07,-0.91,0.0,0.22,-10.12
cifar100_path20_10c,58.59,0.04,-0.09,-1.91,-0.69,-0.43,-20.75
cifar10_dir03_100c,80.02,0.17,0.29,-4.07,-0.07,-0.4,-9.38
cifar10_dir03_50c,78.79,-0.07,-0.14,-3.63,-0.37,-0.93,-7.67
cifar10_path2_100c,91.27,0.2,-0.11,-1.71,-0.32,-0.09,-15.84
cifar10_path2_50c,91.3,-0.01,-0.03,-1.15,0.01,0.09,-14.74
emnist_dir03_1000c,89.44,-0.32,-0.06,-0.96,-0.15,-0.25,-2.64
emnist_path20_1000c,90.09,-0.35,-0.15,-1.38,-0.39,-0.66,-5.78
